experience_id,index,amount,method,substance
112299,1,12 oz,oral,Alcohol - Beer/Wine
85363,0,50 mg,smoked,DMT
85363,1,,smoked,Cannabis
112150,0,repeated,smoked,Cannabis
112150,1,repeated,smoked,DMT
76376,0,3 hits,smoked,DMT
76376,1,3 hits,smoked,Cannabis
80708,0,,smoked,DMT
81391,0,55 mg,smoked,DMT
90510,0,6 hits,,LSD
90510,1,,vaporized,DMT
110218,0,1 hit,vaporized,DMT
110218,1,1 hit,vaporized,DMT
110218,2,,vaporized,DMT
110218,3,,vaporized,DMT
52552,0,,smoked,Cannabis
52552,1,,oral,Cannabis
52552,2,,smoked,Cannabis
52552,3,,smoked,DMT
76662,0,50 mg,insufflated,DMT
76662,1,100 mg,smoked,DMT
45347,0,,smoked,DMT
45347,1,,,Ketamine
45347,2,,smoked,DMT
84850,0,34 mg,smoked,DMT
76713,0,10 glasses,oral,Alcohol - Beer/Wine
76713,1,,smoked,DMT
78594,0,80 mg,smoked,DMT
111493,0,3 hits,smoked,DMT
98311,0,50 mg,smoked,DMT
97612,0,,smoked,Cannabis
97612,1,repeated,smoked,DMT
65124,0,40 mg,smoked,DMT
90691,0,,smoked,Lotus/Lily - Nymphaea nouchali var caerulea
90691,1,8 hits,smoked,DMT
73476,0,10 mg,,Amphetamines
73476,1,1 g,,Piracetam
73476,2,,oral,Tea
73476,3,5 mg,vaporized,DMT
71527,0,,smoked,Cannabis
71527,1,15 mg,smoked,DMT
68151,0,,,Cocaine
68151,1,,oral,Alcohol
68151,2,repeated,smoked,DMT
84361,0,,smoked,DMT
72656,0,,IV,DMT
74019,0,1 hit,smoked,DMT
74019,1,1 hit,smoked,DMT
74019,2,repeated,oral,Alcohol - Beer/Wine
74019,3,1 hit,smoked,DMT
109814,0,3 hits,smoked,DMT
64836,0,20 mg,smoked,DMT
64836,1,40 mg,smoked,DMT
64836,2,,,Unknown
98647,0,100 mg,smoked,DMT
80806,0,45 mg,smoked,DMT
81905,0,5 hits,smoked,DMT
62326,0,2 glasses,oral,Alcohol - Hard
62326,1,,smoked,DMT
62326,2,,smoked,DMT
62326,3,,smoked,DMT
62326,4,4 hits,smoked,DMT
111450,0,,,DMT
84797,0,,vaporized,DMT
41039,0,35 mg,smoked,DMT
110829,0,repeated,smoked,DMT
89657,0,,,Cannabis
89657,1,4 hits,smoked,DMT
111083,0,40 mg,smoked,DMT
104574,0,50 mg,smoked,DMT
108873,0,20 mg,smoked,DMT
31038,0,,oral,Alcohol
31038,1,,,Cannabis - Hash
31038,2,2 tablets,oral,MDMA
31038,3,,smoked,DMT
60278,0,3 hits,smoked,DMT
26157,0,,smoked,DMT
24299,0,,smoked,DMT
24260,0,,oral,Pharmahuasca
24260,1,1 hit,smoked,DMT
14823,0,,oral,DMT
14823,1,3.0 g,oral,Syrian Rue
12058,0,60 mg,smoked,DMT
116409,0,3 hits,vaporized,DMT
108514,0,60 mg,vaporized,DMT
115703,0,,,DMT
115761,0,1 hit,smoked,DMT
115761,1,,oral,Morphine
115586,0,17 mg,vaporized,DMT
115567,0,40 mg,vaporized,DMT
69732,0,,smoked,DMT
69732,1,,smoked,Cannabis
110090,0,repeated,smoked,DMT
106802,0,,inhaled,Nitrous Oxide
106802,1,1 hit,smoked,DMT
106802,2,1 hit,smoked,DMT
106802,3,1 hit,smoked,DMT
103033,0,36 - 37 mg,vaporized,DMT
103033,1,1 hit,inhaled,Nitrous Oxide
92566,0,1 hit,smoked,DMT
100276,0,2 hits,smoked,DMT
104233,0,1 hit,smoked,DMT
56938,0,2 hits,smoked,DMT
80863,0,,,Ayahuasca
80863,1,1 hit,smoked,DMT
89645,0,2 hits,smoked,DMT
93474,0,50 - 100 mg,smoked,DMT
92083,0,4 - 5 glasses,oral,Alcohol - Beer/Wine
92083,1,226 mg,insufflated,MDMA
92083,2,2 bowls,smoked,Cannabis
92083,3,1 cig.,smoked,Tobacco - Cigarettes
92083,4,30 mg,smoked,DMT
110020,0,1 g,smoked,Cannabis
110020,1,,oral,LSD
110020,2,80 mg,smoked,DMT
